bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
0,R4-12-47-2_meter_1,A,279.8994739,274.3569101,1,-1
1,R4-12-47-2_meter_2,A,279.8994739,274.3569101,1,-1
2,R4-12-47-2_meter_2,B,-137.178455,-139.949737,-236.6,-243.4
3,R4-12-47-2_meter_3,B,-137.178455,-139.949737,-236.6,-243.4
4,R4-12-47-2_meter_4,B,-137.178455,-139.949737,-236.6,-243.4
5,R4-12-47-2_meter_5,B,-137.178455,-139.949737,-236.6,-243.4
6,R4-12-47-2_meter_6,B,-137.178455,-139.949737,-236.6,-243.4
7,R4-12-47-2_meter_7,B,-137.178455,-139.949737,-236.6,-243.4
8,R4-12-47-2_meter_8,A,279.8994739,274.3569101,1,-1
9,R4-12-47-2_meter_9,A,279.8994739,274.3569101,1,-1
10,R4-12-47-2_meter_9,B,-137.178455,-139.949737,-236.6,-243.4
11,R4-12-47-2_meter_9,C,-137.178455,-139.949737,243.4,236.6
12,R4-12-47-2_meter_10,A,279.8994739,274.3569101,1,-1
13,R4-12-47-2_meter_10,B,-137.178455,-139.949737,-236.6,-243.4
14,R4-12-47-2_meter_10,C,-137.178455,-139.949737,243.4,236.6
15,R4-12-47-2_meter_11,A,279.8994739,274.3569101,1,-1
16,R4-12-47-2_meter_12,A,279.8994739,274.3569101,1,-1
17,R4-12-47-2_meter_12,B,-137.178455,-139.949737,-236.6,-243.4
18,R4-12-47-2_meter_12,C,-137.178455,-139.949737,243.4,236.6
19,R4-12-47-2_meter_13,A,279.8994739,274.3569101,1,-1
20,R4-12-47-2_meter_13,B,-137.178455,-139.949737,-236.6,-243.4
21,R4-12-47-2_meter_13,C,-137.178455,-139.949737,243.4,236.6
22,R4-12-47-2_meter_14,A,279.8994739,274.3569101,1,-1
23,R4-12-47-2_meter_14,B,-137.178455,-139.949737,-236.6,-243.4
24,R4-12-47-2_meter_14,C,-137.178455,-139.949737,243.4,236.6
25,R4-12-47-2_meter_15,C,-137.178455,-139.949737,243.4,236.6
26,R4-12-47-2_meter_16,A,279.8994739,274.3569101,1,-1
27,R4-12-47-2_meter_16,B,-137.178455,-139.949737,-236.6,-243.4
