bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
0,R1-25-00-1_meter_1,A,281.9408666,276.3578792,-0.473619628,-2.503389722
1,R1-25-00-1_meter_2,A,281.9408666,276.3578792,-0.473619628,-2.503389722
2,R1-25-00-1_meter_3,A,281.9408666,276.3578792,-0.473619628,-2.503389722
3,R1-25-00-1_meter_4,A,281.9408666,276.3578792,-0.473619628,-2.503389722
4,R1-25-00-1_meter_5,B,-138.2796375,-141.0731655,-237.0818337,-243.8915677
5,R1-25-00-1_meter_6,B,-138.2796375,-141.0731655,-237.0818337,-243.8915677
6,R1-25-00-1_meter_7,B,-138.2796375,-141.0731655,-237.0818337,-243.8915677
7,R1-25-00-1_meter_8,C,-137.0484754,-139.8171314,244.5876396,237.764122
8,R1-25-00-1_meter_9,A,281.9408666,276.3578792,-0.473619628,-2.503389722
9,R1-25-00-1_meter_10,A,282.1293212,276.542602,-0.638862355,-2.671970685
10,R1-25-00-1_meter_10,B,-139.6905976,-142.5126299,-237.6735158,-244.495203
11,R1-25-00-1_meter_10,C,-136.8520044,-139.6166914,246.1671736,239.3123781
12,R1-25-00-1_meter_11,A,279.8993772,274.3568153,0.99997994,-1.000020465
13,R1-25-00-1_meter_11,B,-137.178425,-139.9497063,-236.5999899,-243.3999897
14,R1-25-00-1_meter_11,C,-137.1783903,-139.9496709,243.4000101,236.6000099
15,R1-25-00-1_meter_12,A,279.9227,274.3796763,0.983145158,-1.017195344
16,R1-25-00-1_meter_12,B,-137.2044349,-139.9762416,-236.6113707,-243.4116004
17,R1-25-00-1_meter_12,C,-137.1752414,-139.9464584,243.4287957,236.6282255
18,R1-25-00-1_meter_13,C,-137.1752414,-139.9464584,243.4287957,236.6282255
19,R1-25-00-1_meter_14,C,-137.1730959,-139.9442696,243.4484088,236.6474502
20,R1-25-00-1_meter_15,C,-137.1730959,-139.9442696,243.4484088,236.6474502
21,R1-25-00-1_meter_16,C,-137.1730959,-139.9442696,243.4484088,236.6474502
22,R1-25-00-1_meter_17,C,-137.1730959,-139.9442696,243.4484088,236.6474502
