bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
0,R5-12-47-2_meter_1,A,280.3980405,274.845604,0.404992714,-1.607027635
1,R5-12-47-2_meter_1,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
2,R5-12-47-2_meter_1,C,-136.9075422,-139.6733512,244.120428,237.3061621
3,R5-12-47-2_meter_2,A,280.645779,275.0884368,0.173205147,-1.84349778
4,R5-12-47-2_meter_2,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
5,R5-12-47-2_meter_2,C,-136.828237,-139.5924438,244.4531978,237.6323424
6,R5-12-47-2_meter_3,A,280.6149864,275.058254,0.213324278,-1.802568161
7,R5-12-47-2_meter_3,B,-138.2103663,-141.0024949,-236.7994696,-243.6034993
8,R5-12-47-2_meter_3,C,-136.8478877,-139.6124915,244.4060675,237.5861453
9,R5-12-47-2_meter_4,A,280.3980405,274.845604,0.404992714,-1.607027635
10,R5-12-47-2_meter_4,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
11,R5-12-47-2_meter_4,C,-136.9075422,-139.6733512,244.120428,237.3061621
12,R5-12-47-2_meter_5,A,280.3980405,274.845604,0.404992714,-1.607027635
13,R5-12-47-2_meter_5,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
14,R5-12-47-2_meter_5,C,-136.9075422,-139.6733512,244.120428,237.3061621
15,R5-12-47-2_meter_6,A,280.765816,275.2060968,0.132244031,-1.885286392
16,R5-12-47-2_meter_6,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
17,R5-12-47-2_meter_6,C,-136.8515958,-139.6162746,244.5780408,237.7547132
18,R5-12-47-2_meter_7,A,280.3980405,274.845604,0.404992714,-1.607027635
19,R5-12-47-2_meter_7,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
20,R5-12-47-2_meter_7,C,-136.9075422,-139.6733512,244.120428,237.3061621
21,R5-12-47-2_meter_8,A,280.765816,275.2060968,0.132244031,-1.885286392
22,R5-12-47-2_meter_8,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
23,R5-12-47-2_meter_8,C,-136.8515958,-139.6162746,244.5780408,237.7547132
24,R5-12-47-2_meter_9,A,280.6165793,275.0598153,0.212925751,-1.802974739
25,R5-12-47-2_meter_9,B,-138.2114921,-141.0036435,-236.8006224,-243.6046754
26,R5-12-47-2_meter_9,C,-136.8483232,-139.6129358,244.4076501,237.5876966
27,R5-12-47-2_meter_10,A,280.3980405,274.845604,0.404992714,-1.607027635
28,R5-12-47-2_meter_10,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
29,R5-12-47-2_meter_10,C,-136.9075422,-139.6733512,244.120428,237.3061621
30,R5-12-47-2_meter_11,A,280.645779,275.0884368,0.173205147,-1.84349778
31,R5-12-47-2_meter_11,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
32,R5-12-47-2_meter_11,C,-136.828237,-139.5924438,244.4531978,237.6323424
33,R5-12-47-2_meter_12,A,280.3980405,274.845604,0.404992714,-1.607027635
34,R5-12-47-2_meter_12,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
35,R5-12-47-2_meter_12,C,-136.9075422,-139.6733512,244.120428,237.3061621
36,R5-12-47-2_meter_13,A,280.3980405,274.845604,0.404992714,-1.607027635
37,R5-12-47-2_meter_13,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
38,R5-12-47-2_meter_13,C,-136.9075422,-139.6733512,244.120428,237.3061621
39,R5-12-47-2_meter_14,A,280.645779,275.0884368,0.173205147,-1.84349778
40,R5-12-47-2_meter_15,A,280.765816,275.2060968,0.132244031,-1.885286392
41,R5-12-47-2_meter_15,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
42,R5-12-47-2_meter_15,C,-136.8515958,-139.6162746,244.5780408,237.7547132
43,R5-12-47-2_meter_16,A,280.765816,275.2060968,0.132244031,-1.885286392
44,R5-12-47-2_meter_16,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
45,R5-12-47-2_meter_16,C,-136.8515958,-139.6162746,244.5780408,237.7547132
46,R5-12-47-2_meter_17,A,280.3980405,274.845604,0.404992714,-1.607027635
47,R5-12-47-2_meter_17,B,-137.9380618,-140.7246893,-236.7111548,-243.5134004
48,R5-12-47-2_meter_17,C,-136.9075422,-139.6733512,244.120428,237.3061621
49,R5-12-47-2_meter_18,A,280.645779,275.0884368,0.173205147,-1.84349778
50,R5-12-47-2_meter_18,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
51,R5-12-47-2_meter_18,C,-136.828237,-139.5924438,244.4531978,237.6323424
52,R5-12-47-2_meter_19,A,280.645779,275.0884368,0.173205147,-1.84349778
53,R5-12-47-2_meter_20,A,280.645779,275.0884368,0.173205147,-1.84349778
54,R5-12-47-2_meter_21,A,280.5504839,274.9950288,0.235206264,-1.780244114
55,R5-12-47-2_meter_21,B,-138.1598045,-140.9509117,-236.7556593,-243.5588039
56,R5-12-47-2_meter_21,C,-136.8352243,-139.5995722,244.3390481,237.520453
57,R5-12-47-2_meter_22,A,280.645779,275.0884368,0.173205147,-1.84349778
58,R5-12-47-2_meter_22,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
59,R5-12-47-2_meter_23,A,280.645779,275.0884368,0.173205147,-1.84349778
60,R5-12-47-2_meter_23,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
61,R5-12-47-2_meter_23,C,-136.828237,-139.5924438,244.4531978,237.6323424
62,R5-12-47-2_meter_24,A,280.6135729,275.0568685,0.213677926,-1.802207368
63,R5-12-47-2_meter_25,A,280.6783451,275.120358,0.162092376,-1.854835051
64,R5-12-47-2_meter_25,B,-138.2857837,-141.0794359,-236.827634,-243.6322327
65,R5-12-47-2_meter_25,C,-136.8345743,-139.5989091,244.4870677,237.6655416
66,R5-12-47-2_meter_26,A,280.765816,275.2060968,0.132244031,-1.885286392
67,R5-12-47-2_meter_26,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
68,R5-12-47-2_meter_26,C,-136.8515958,-139.6162746,244.5780408,237.7547132
69,R5-12-47-2_meter_27,A,280.6783451,275.120358,0.162092376,-1.854835051
70,R5-12-47-2_meter_27,C,-136.8345743,-139.5989091,244.4870677,237.6655416
71,R5-12-47-2_meter_28,A,280.765816,275.2060968,0.132244031,-1.885286392
72,R5-12-47-2_meter_28,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
73,R5-12-47-2_meter_28,C,-136.8515958,-139.6162746,244.5780408,237.7547132
74,R5-12-47-2_meter_29,A,280.765816,275.2060968,0.132244031,-1.885286392
75,R5-12-47-2_meter_29,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
76,R5-12-47-2_meter_29,C,-136.8515958,-139.6162746,244.5780408,237.7547132
77,R5-12-47-2_meter_30,A,280.645779,275.0884368,0.173205147,-1.84349778
78,R5-12-47-2_meter_30,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
79,R5-12-47-2_meter_30,C,-136.828237,-139.5924438,244.4531978,237.6323424
80,R5-12-47-2_meter_31,A,280.765816,275.2060968,0.132244031,-1.885286392
81,R5-12-47-2_meter_31,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
82,R5-12-47-2_meter_31,C,-136.8515958,-139.6162746,244.5780408,237.7547132
83,R5-12-47-2_meter_32,A,280.5353041,274.9801495,0.240386199,-1.774959534
84,R5-12-47-2_meter_32,B,-138.1478792,-140.9387455,-236.7453643,-243.5483009
85,R5-12-47-2_meter_33,A,280.5639006,275.0081798,0.230627983,-1.784914886
86,R5-12-47-2_meter_33,B,-138.1703447,-140.9616648,-236.7647586,-243.568087
87,R5-12-47-2_meter_33,C,-136.8378351,-139.6022358,244.3530019,237.5341306
88,R5-12-47-2_meter_34,A,280.7343336,275.1752379,0.142986979,-1.874326415
89,R5-12-47-2_meter_34,B,-138.3297684,-141.1243092,-236.8656058,-243.6709715
90,R5-12-47-2_meter_34,C,-136.8454695,-139.6100244,244.545298,237.7226188
91,R5-12-47-2_meter_35,A,280.6068657,275.0502941,0.215966694,-1.799872363
92,R5-12-47-2_meter_35,B,-138.2040981,-140.9961001,-236.7938977,-243.5978149
93,R5-12-47-2_meter_35,C,-136.846196,-139.6107656,244.3976872,237.577931
94,R5-12-47-2_meter_36,A,280.765816,275.2060968,0.132244031,-1.885286392
95,R5-12-47-2_meter_36,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
96,R5-12-47-2_meter_36,C,-136.8515958,-139.6162746,244.5780408,237.7547132
97,R5-12-47-2_meter_37,B,-138.3297684,-141.1243092,-236.8656058,-243.6709715
98,R5-12-47-2_meter_38,A,280.765816,275.2060968,0.132244031,-1.885286392
99,R5-12-47-2_meter_38,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
100,R5-12-47-2_meter_38,C,-136.8515958,-139.6162746,244.5780408,237.7547132
101,R5-12-47-2_meter_39,A,280.765816,275.2060968,0.132244031,-1.885286392
102,R5-12-47-2_meter_39,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
103,R5-12-47-2_meter_39,C,-136.8515958,-139.6162746,244.5780408,237.7547132
104,R5-12-47-2_meter_40,A,280.765816,275.2060968,0.132244031,-1.885286392
105,R5-12-47-2_meter_40,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
106,R5-12-47-2_meter_40,C,-136.8515958,-139.6162746,244.5780408,237.7547132
107,R5-12-47-2_meter_41,A,280.645779,275.0884368,0.173205147,-1.84349778
108,R5-12-47-2_meter_41,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
109,R5-12-47-2_meter_42,A,280.645779,275.0884368,0.173205147,-1.84349778
110,R5-12-47-2_meter_42,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
111,R5-12-47-2_meter_43,A,280.5504839,274.9950288,0.235206264,-1.780244114
112,R5-12-47-2_meter_43,B,-138.1598045,-140.9509117,-236.7556593,-243.5588039
113,R5-12-47-2_meter_43,C,-136.8352243,-139.5995722,244.3390481,237.520453
114,R5-12-47-2_meter_44,A,280.645779,275.0884368,0.173205147,-1.84349778
115,R5-12-47-2_meter_44,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
116,R5-12-47-2_meter_45,A,280.645779,275.0884368,0.173205147,-1.84349778
117,R5-12-47-2_meter_45,B,-138.2601998,-141.0533351,-236.8055475,-243.6097
118,R5-12-47-2_meter_46,A,280.765816,275.2060968,0.132244031,-1.885286392
119,R5-12-47-2_meter_46,B,-138.354501,-141.1495414,-236.8869572,-243.6927544
120,R5-12-47-2_meter_46,C,-136.8515958,-139.6162746,244.5780408,237.7547132
121,R5-12-47-2_meter_47,A,7271.99999,7127.99999,0.9972407,-1.002815044
