bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
871,R4-25-00-1_xfmr_6_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
872,R4-25-00-1_xfmr_7_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
873,R4-25-00-1_xfmr_7_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
874,R4-25-00-1_xfmr_7_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
875,R4-25-00-1_xfmr_8_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
876,R4-25-00-1_xfmr_8_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
877,R4-25-00-1_xfmr_8_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
878,R4-25-00-1_xfmr_9_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
879,R4-25-00-1_xfmr_9_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
880,R4-25-00-1_xfmr_9_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
881,R4-25-00-1_xfmr_10_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
882,R4-25-00-1_xfmr_10_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
883,R4-25-00-1_xfmr_10_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
884,R4-25-00-1_xfmr_11_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
885,R4-25-00-1_xfmr_11_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
886,R4-25-00-1_xfmr_11_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
887,R4-25-00-1_xfmr_12_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
888,R4-25-00-1_xfmr_12_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
889,R4-25-00-1_xfmr_12_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
890,R4-25-00-1_xfmr_13_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
891,R4-25-00-1_xfmr_13_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
892,R4-25-00-1_xfmr_13_sending_2,2,60.6,59.4,105.9622914,101.8838302
893,R4-25-00-1_xfmr_14_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
894,R4-25-00-1_xfmr_14_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
895,R4-25-00-1_xfmr_14_sending_2,2,60.6,59.4,105.9622914,101.8838302
896,R4-25-00-1_xfmr_15_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
897,R4-25-00-1_xfmr_15_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
898,R4-25-00-1_xfmr_15_sending_2,2,60.6,59.4,105.9622914,101.8838302
899,R4-25-00-1_xfmr_16_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
900,R4-25-00-1_xfmr_16_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
901,R4-25-00-1_xfmr_16_sending_2,2,60.6,59.4,105.9622914,101.8838302
902,R4-25-00-1_xfmr_17_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
903,R4-25-00-1_xfmr_17_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
904,R4-25-00-1_xfmr_17_sending_2,2,60.6,59.4,105.9622914,101.8838302
905,R4-25-00-1_xfmr_18_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
906,R4-25-00-1_xfmr_18_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
907,R4-25-00-1_xfmr_18_sending_2,2,60.6,59.4,105.9622914,101.8838302
908,R4-25-00-1_xfmr_19_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
909,R4-25-00-1_xfmr_19_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
910,R4-25-00-1_xfmr_19_sending_2,2,60.6,59.4,105.9622914,101.8838302
911,R4-25-00-1_xfmr_20_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
912,R4-25-00-1_xfmr_20_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
913,R4-25-00-1_xfmr_20_sending_2,2,60.6,59.4,105.9622914,101.8838302
914,R4-25-00-1_xfmr_21_primary,A,14519.7802,14232.2598,1,-1
915,R4-25-00-1_xfmr_21_sending_1,1,121.2,118.8,1,-1
916,R4-25-00-1_xfmr_21_sending_2,2,-118.8,-121.2,1,-1
917,R4-25-00-1_xfmr_22_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
918,R4-25-00-1_xfmr_22_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
919,R4-25-00-1_xfmr_22_sending_2,2,60.6,59.4,105.9622914,101.8838302
920,R4-25-00-1_xfmr_23_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
921,R4-25-00-1_xfmr_23_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
922,R4-25-00-1_xfmr_23_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
923,R4-25-00-1_xfmr_24_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
924,R4-25-00-1_xfmr_24_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
925,R4-25-00-1_xfmr_24_sending_2,2,60.6,59.4,105.9622914,101.8838302
926,R4-25-00-1_xfmr_25_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
927,R4-25-00-1_xfmr_25_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
928,R4-25-00-1_xfmr_25_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
929,R4-25-00-1_xfmr_26_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
930,R4-25-00-1_xfmr_26_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
931,R4-25-00-1_xfmr_26_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
932,R4-25-00-1_xfmr_27_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
933,R4-25-00-1_xfmr_27_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
934,R4-25-00-1_xfmr_27_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
935,R4-25-00-1_xfmr_28_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
936,R4-25-00-1_xfmr_28_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
937,R4-25-00-1_xfmr_28_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
938,R4-25-00-1_xfmr_29_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
939,R4-25-00-1_xfmr_29_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
940,R4-25-00-1_xfmr_29_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
941,R4-25-00-1_xfmr_30_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
942,R4-25-00-1_xfmr_30_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
943,R4-25-00-1_xfmr_30_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
944,R4-25-00-1_xfmr_31_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
945,R4-25-00-1_xfmr_31_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
946,R4-25-00-1_xfmr_31_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
947,R4-25-00-1_xfmr_32_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
948,R4-25-00-1_xfmr_32_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
949,R4-25-00-1_xfmr_32_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
950,R4-25-00-1_xfmr_33_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
951,R4-25-00-1_xfmr_33_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
952,R4-25-00-1_xfmr_33_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
953,R4-25-00-1_xfmr_34_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
954,R4-25-00-1_xfmr_34_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
955,R4-25-00-1_xfmr_34_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
956,R4-25-00-1_xfmr_35_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
957,R4-25-00-1_xfmr_35_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
958,R4-25-00-1_xfmr_35_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
959,R4-25-00-1_xfmr_36_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
960,R4-25-00-1_xfmr_36_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
961,R4-25-00-1_xfmr_36_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
962,R4-25-00-1_xfmr_37_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
963,R4-25-00-1_xfmr_37_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
964,R4-25-00-1_xfmr_37_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
965,R4-25-00-1_xfmr_38_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
966,R4-25-00-1_xfmr_38_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
967,R4-25-00-1_xfmr_38_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
968,R4-25-00-1_xfmr_39_primary,A,14519.7802,14232.2598,1,-1
969,R4-25-00-1_xfmr_39_sending_1,1,121.2,118.8,1,-1
970,R4-25-00-1_xfmr_39_sending_2,2,-118.8,-121.2,1,-1
971,R4-25-00-1_xfmr_40_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
972,R4-25-00-1_xfmr_40_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
973,R4-25-00-1_xfmr_40_sending_2,2,60.6,59.4,105.9622914,101.8838302
974,R4-25-00-1_xfmr_41_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
975,R4-25-00-1_xfmr_41_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
976,R4-25-00-1_xfmr_41_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
977,R4-25-00-1_xfmr_42_primary,A,14519.7802,14232.2598,1,-1
978,R4-25-00-1_xfmr_42_sending_1,1,121.2,118.8,1,-1
979,R4-25-00-1_xfmr_42_sending_2,2,-118.8,-121.2,1,-1
980,R4-25-00-1_xfmr_43_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
981,R4-25-00-1_xfmr_43_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
982,R4-25-00-1_xfmr_43_sending_2,2,60.6,59.4,105.9622914,101.8838302
983,R4-25-00-1_xfmr_44_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
984,R4-25-00-1_xfmr_44_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
985,R4-25-00-1_xfmr_44_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
986,R4-25-00-1_xfmr_45_primary,A,14519.7802,14232.2598,1,-1
987,R4-25-00-1_xfmr_45_sending_1,1,121.2,118.8,1,-1
